env,method,alpha,seed,ckpt,fqe,ood_mean,ood_p50,ood_p90,ood_p95
hopper-medium-replay-v2,td3bc_u,0.3,0,generated_data/td3bc_u_alpha0.3_hopper_medium_replay_v2_seed0.pt,101.66606140136719,0.2754037082195282,0.24798783659934998,0.4908367604017258,0.5765706449747084
hopper-medium-replay-v2,td3bc_u,0.3,1,generated_data/td3bc_u_alpha0.3_hopper_medium_replay_v2_seed1.pt,103.46245574951172,0.2749710977077484,0.24707504361867905,0.49237549901008615,0.5791699111461636
hopper-medium-replay-v2,td3bc_u,0.3,2,generated_data/td3bc_u_alpha0.3_hopper_medium_replay_v2_seed2.pt,104.04927062988281,0.2747161388397217,0.24689637124538422,0.4932671159505844,0.5814001739025114
walker2d-medium-v2,td3bc_u,0.3,0,generated_data/td3bc_u_alpha0.3_walker2d_medium_v2_seed0.pt,329.9662780761719,0.2487252801656723,0.22580388188362122,0.40054715871810914,0.4834870472550388
walker2d-medium-v2,td3bc_u,0.3,1,generated_data/td3bc_u_alpha0.3_walker2d_medium_v2_seed1.pt,335.4169921875,0.2501557767391205,0.2274552807211876,0.4020954817533493,0.4832001626491546
walker2d-medium-v2,td3bc_u,0.3,2,generated_data/td3bc_u_alpha0.3_walker2d_medium_v2_seed2.pt,353.3659973144531,0.24988150596618652,0.22625628858804703,0.4039127707481384,0.4860082700848576
hopper-medium-replay-v2,td3bc_u,0.5,0,generated_data/td3bc_u_alpha0.5_hopper_medium_replay_v2_seed0.pt,97.6018295288086,0.27547910809516907,0.24872075766324997,0.4905357390642166,0.5779893279075622
hopper-medium-replay-v2,td3bc_u,0.5,1,generated_data/td3bc_u_alpha0.5_hopper_medium_replay_v2_seed1.pt,103.3934555053711,0.27522167563438416,0.24721848964691162,0.4929806709289551,0.5803258448839186
hopper-medium-replay-v2,td3bc_u,0.5,2,generated_data/td3bc_u_alpha0.5_hopper_medium_replay_v2_seed2.pt,102.1192855834961,0.27440258860588074,0.24667590856552124,0.49294778406620027,0.5815587580204009
walker2d-medium-v2,td3bc_u,0.5,0,generated_data/td3bc_u_alpha0.5_walker2d_medium_v2_seed0.pt,343.5404052734375,0.24885272979736328,0.22594445198774338,0.40156481564044955,0.48536844849586475
walker2d-medium-v2,td3bc_u,0.5,1,generated_data/td3bc_u_alpha0.5_walker2d_medium_v2_seed1.pt,337.5182800292969,0.25002825260162354,0.22737744450569153,0.40172046720981597,0.4839978188276289
walker2d-medium-v2,td3bc_u,0.5,2,generated_data/td3bc_u_alpha0.5_walker2d_medium_v2_seed2.pt,382.13018798828125,0.24987034499645233,0.22634778916835785,0.4038376063108444,0.4853957027196884
hopper-medium-replay-v2,td3bc_u,0.0,0,generated_data/td3bc_u_alpha0_hopper_medium_replay_v2_seed0.pt,100.14804077148438,0.2763115167617798,0.24934110045433044,0.4925656408071518,0.5777946770191192
hopper-medium-replay-v2,td3bc_u,0.0,1,generated_data/td3bc_u_alpha0_hopper_medium_replay_v2_seed1.pt,103.9275131225586,0.27604779601097107,0.24838293343782425,0.4926019996404648,0.5810358583927153
hopper-medium-replay-v2,td3bc_u,0.0,2,generated_data/td3bc_u_alpha0_hopper_medium_replay_v2_seed2.pt,104.86907196044922,0.2745695412158966,0.24669868499040604,0.4921217113733292,0.5810069233179088
walker2d-medium-v2,td3bc_u,0.0,0,generated_data/td3bc_u_alpha0_walker2d_medium_v2_seed0.pt,336.49237060546875,0.249081090092659,0.22639833390712738,0.4006526976823807,0.4832223445177078
walker2d-medium-v2,td3bc_u,0.0,1,generated_data/td3bc_u_alpha0_walker2d_medium_v2_seed1.pt,355.0590515136719,0.2496510148048401,0.22683390974998474,0.40114861428737647,0.48307570964097973
walker2d-medium-v2,td3bc_u,0.0,2,generated_data/td3bc_u_alpha0_walker2d_medium_v2_seed2.pt,374.4386291503906,0.2496613711118698,0.2264542654156685,0.40351155400276184,0.48435229957103726
hopper-medium-replay-v2,td3bc_u,1.0,0,generated_data/td3bc_u_alpha1_hopper_medium_replay_v2_seed0.pt,101.66606140136719,0.2754037082195282,0.24798783659934998,0.4908367604017258,0.5765706449747084
hopper-medium-replay-v2,td3bc_u,1.0,1,generated_data/td3bc_u_alpha1_hopper_medium_replay_v2_seed1.pt,103.46245574951172,0.2749710977077484,0.24707504361867905,0.49237549901008615,0.5791699111461636
hopper-medium-replay-v2,td3bc_u,1.0,2,generated_data/td3bc_u_alpha1_hopper_medium_replay_v2_seed2.pt,104.04927062988281,0.2747161388397217,0.24689637124538422,0.4932671159505844,0.5814001739025114
walker2d-medium-v2,td3bc_u,1.0,0,generated_data/td3bc_u_alpha1_walker2d_medium_v2_seed0.pt,329.9662780761719,0.2487252801656723,0.22580388188362122,0.40054715871810914,0.4834870472550388
walker2d-medium-v2,td3bc_u,1.0,1,generated_data/td3bc_u_alpha1_walker2d_medium_v2_seed1.pt,335.4169921875,0.2501557767391205,0.2274552807211876,0.4020954817533493,0.4832001626491546
walker2d-medium-v2,td3bc_u,1.0,2,generated_data/td3bc_u_alpha1_walker2d_medium_v2_seed2.pt,353.3659973144531,0.24988150596618652,0.22625628858804703,0.4039127707481384,0.4860082700848576
