env,method,fqe_mean,fqe_std,fqe_count,ood_mean_mean,ood_mean_std,ood_mean_count,ood_p50_mean,ood_p50_std,ood_p50_count,ood_p90_mean,ood_p90_std,ood_p90_count,ood_p95_mean,ood_p95_std,ood_p95_count
antmaze-umaze-v2,bc,0.22728721300760904,0.026325362564002943,3,0.7205681403477987,0.0004979602808220278,3,0.6745083530743917,0.00034679211223209255,3,1.1717873573303224,0.0018689545015190575,3,1.3237293899059293,0.002607199853735951,3
antmaze-umaze-v2,iql,0.24891616900761923,0.01821045363996294,3,0.6825252970059713,0.002152194759625203,3,0.6101696590582529,0.0011168078528546593,3,1.1603389938672384,0.004377081531251227,3,1.3417445560296375,0.005376441694777378,3
antmaze-umaze-v2,iql_u_mcdo,0.2371374468008677,0.02792624647974274,3,1.9912128845850627,0.004700743957144133,3,1.997646729151408,0.009125164917553852,3,2.268667459487915,0.009089310085108715,3,2.3465234279632567,0.013932773140809849,3
antmaze-umaze-v2,td3bc,0.24000748495260874,0.02931767878134032,3,0.6507643063863119,0.002993581850574443,3,0.5846698681513468,0.003234937343930566,3,1.1071434458096823,0.004690079273684619,3,1.277540193001429,0.005435890644727788,3
antmaze-umaze-v2,td3bc_u,0.23998000224431357,0.02559370493082325,3,0.649696966012319,0.0027464622025608824,3,0.5835651854674021,0.003213905013832361,3,1.1046176036198936,0.002980607304082492,3,1.2751356323560075,0.004126671985254977,3
hopper-medium-replay-v2,bc,98.94773610432942,5.308846725127002,3,0.2855570713678996,0.00374854656161279,3,0.2575730582078298,0.004547533990708182,3,0.5006217678387962,0.004499884256010349,3,0.5886387666066485,0.004032074289004014,3
hopper-medium-replay-v2,iql,123.431396484375,22.074682452765515,3,0.8102430105209351,0.02805356595424181,3,0.8424707551797231,0.029935261705939128,3,1.2154353896776835,0.05214424598534911,3,1.3123172958691915,0.05700272520691564,3
hopper-medium-replay-v2,iql_u,74.56943003336589,18.918757153140252,3,0.8184718489646912,0.021241988941943946,3,0.8443767925103506,0.011881804686482835,3,1.2348754405975342,0.045209900424661456,3,1.3294718980789184,0.040830104714229334,3
hopper-medium-replay-v2,iql_u_mcdo,98.45352681477864,5.59974335723908,3,0.797948400179545,0.023718977191506774,3,0.8324900368849436,0.02458696125568811,3,1.1979894916216534,0.041361842063595895,3,1.3021003683408099,0.04477783393512589,3
hopper-medium-replay-v2,td3bc,102.98154195149739,2.4986356205245053,3,0.27564295132954914,0.0009389058060691945,3,0.24814090629418692,0.0013377304379768213,3,0.4924297839403153,0.00026741731635592815,3,0.5799458195765811,0.001863000278188764,3
hopper-medium-replay-v2,td3bc_u,104.5740254720052,1.4842047527901066,3,0.27388104796409607,0.0019790502799416857,3,0.24628857523202896,0.0020516190599371613,3,0.4897291819254557,0.0011735394339807944,3,0.5773617982864377,0.0005317927947080506,3
walker2d-medium-v2,bc,277.20436604817706,8.273215665329488,3,0.2606416841348012,0.007107716204234732,3,0.23445925116539001,0.005664448036634865,3,0.4155993481477102,0.01256477355133755,3,0.5042045995593069,0.01645099875498627,3
walker2d-medium-v2,iql,311.1841125488281,30.784641852278444,3,0.2549285093943278,0.001615137724424954,3,0.23120761662721634,0.0008227981074165168,3,0.4148087829351425,0.0030480055525918858,3,0.4988561362028121,0.0034966399253210626,3
walker2d-medium-v2,iql_u,14.710341612497965,17.04070122002794,3,1.5324377218882244,0.02851181618383318,3,1.541094422340393,0.00804469971379347,3,1.8926337758700054,0.03602917582124286,3,2.0127857247988383,0.04696194943850107,3
walker2d-medium-v2,iql_u_mcdo,252.60560099283853,21.537355381792565,3,1.527437726656596,0.07522896877009241,3,1.5214869578679402,0.0782297261022819,3,1.883164461453756,0.07639978748841011,3,2.01610582669576,0.06325882815526147,3
walker2d-medium-v2,td3bc,355.33001708984375,18.974580394494016,3,0.24946449200312296,0.00033207616894982207,3,0.22656216969092688,0.00023698961619552733,3,0.401770955324173,0.0015276603482798647,3,0.48355011790990826,0.00069856782767103,3
walker2d-medium-v2,td3bc_u,328.3846842447917,16.602423952145,3,0.24885192016760507,0.0009399883642696803,3,0.22559412072102228,0.000861277391245586,3,0.401903905471166,0.0015611944098660607,3,0.48467386513948424,0.0006062690232033425,3
